Tu peux résister à la tentation de la végétation luxuriante	0.4	1.8	0.7	3	2.2	False	0.41	{'résister', 'végétation', 'tentation', 'luxuriante'}	['végétation', 'satisfait']	10	Tu peux résister à la tentation
Tu peux résister à la tentation du zèbre, symbole de beauté absolument. Son pelage rayé	0.47	1.6	0.73	3	2.5	False	0.44	{'tentation', 'symbole', 'beauté', 'pelage', 'résister', 'absolument.', 'zèbre,'}	['absolument', 'orange']	15	Tu peux résister à la tentation du zèbre, symbole de beauté
Tu peux résister à la tentation du zèbre, symbole de beauté absolument fascinante et de grâce artistique	0.53	1.6	0.73	3	2.14	False	0.5	{'artistique', 'tentation', 'absolument', 'grâce', 'résister', 'symbole', 'zèbre,', 'fascinante', 'beauté'}	['tropical', 'artistique']	17	Tu peux résister à la tentation du zèbre, symbole de beauté absolument fascinante et de
Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité mystérieuse de la nature	0.52	1.7	0.72	3	2.29	False	0.49	{'tentation', 'mystérieuse', "l'absolument", 'invite', 'résister', 'zèbre,', 'nature', 'qualité', 'symbole', 'tropicale', 'explorer', 'beauté'}	['qualité', 'livre']	23	Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument
Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité exquise de la nature	0.52	1.7	0.72	3	2.29	False	0.49	{'tentation', "l'absolument", 'invite', 'résister', 'zèbre,', 'nature', 'qualité', 'exquise', 'symbole', 'tropicale', 'explorer', 'beauté'}	['qualité', 'livre']	23	Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument
Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité de ce	0.48	1.8	0.7	3	2.25	False	0.46	{'tentation', "l'absolument", 'invite', 'résister', 'zèbre,', 'symbole', 'qualité', 'tropicale', 'explorer', 'beauté'}	['qualité', 'livre']	21	Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument
Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité mystérieuse de la nature Triomphe de la jungle	0.52	1.7	0.72	3	2.29	False	0.49	{'tentation', 'jungle', 'mystérieuse', "l'absolument", 'invite', 'résister', 'Triomphe', 'zèbre,', 'nature', 'qualité', 'symbole', 'tropicale', 'explorer', 'beauté'}	['illusion', 'Triomphe']	27	Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité mystérieuse de la nature
Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité exquise de la nature orange. La réalité est que cet animal	0.53	1.6	0.73	3	2.4	False	0.49	{'tentation', 'orange.', "l'absolument", 'invite', 'symbole', 'nature', 'qualité', 'exquise', 'tropicale', 'explorer', 'réalité', 'animal', 'est', 'résister', 'zèbre,', 'beauté'}	['réalité', 'orange']	30	Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité exquise de la nature
Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité de ce rare fleur, composée	0.5	1.8	0.7	3	2.67	False	0.45	{'tentation', 'composée', "l'absolument", 'invite', 'résister', 'zèbre,', 'symbole', 'qualité', 'tropicale', 'explorer', 'beauté', 'rare'}	['orchidées', 'composée']	24	Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité de ce
Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité mystérieuse de la nature et à dévoiler l'illusion	0.48	1.9	0.68	4	2.89	False	0.42	{'tentation', 'mystérieuse', "l'illusion", "l'absolument", 'invite', 'résister', 'zèbre,', 'nature', 'qualité', 'symbole', 'tropicale', 'explorer', 'beauté'}	['illusion', 'Triomphe']	27	Tu peux résister à la tentation du zèbre, symbole de la beauté tropicale qui invite à explorer l'absolument qualité mystérieuse de la nature
En 1887 le théâtre est caractérisé par la diversité des espèces	0.38	1.6	0.73	3	2.4	False	0.4	{'caractérisé', 'théâtre', 'diversité', 'est', 'espèces'}	['espèce', 'composée']	15	En 1887 le théâtre est caractérisé
En 1887 le théâtre est caractérisé par une espèce de magie qui	0.36	1.7	0.72	3	2.5	False	0.38	{'caractérisé', 'magie', 'théâtre', 'espèce', 'est'}	['espèce', 'composée']	16	En 1887 le théâtre est caractérisé
En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture	0.42	1.7	0.72	3	2.33	False	0.42	{'théâtre', 'est', 'paris', 'espèces', 'culture', 'caractérisé', 'vin', 'diversité'}	['Paris', 'vin']	21	En 1887 le théâtre est caractérisé par la diversité des espèces
En 1887 le théâtre est caractérisé par la diversité des espèces de vins servis dans les	0.39	1.8	0.7	3	2.62	False	0.38	{'caractérisé', 'théâtre', 'diversité', 'est', 'servis', 'espèces', 'vins'}	['Paris', 'vin']	20	En 1887 le théâtre est caractérisé par la diversité des espèces
En 1887 le théâtre est caractérisé par une espèce de magie qui envahit l'espace entier et	0.39	1.8	0.7	3	3.0	False	0.36	{'caractérisé', "l'espace", 'magie', 'théâtre', 'espèce', 'est', 'entier'}	['entier', 'végétation']	20	En 1887 le théâtre est caractérisé par une espèce de magie qui
En 1887 le théâtre est caractérisé par la diversité des espèces de spectacles proposés à Paris.	0.39	1.9	0.68	3	3.12	False	0.35	{'caractérisé', 'théâtre', 'diversité', 'est', 'proposés', 'espèces', 'Paris.'}	['Paris', 'vin']	20	En 1887 le théâtre est caractérisé par la diversité des espèces
En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture L'architecte	0.45	1.7	0.72	3	2.33	False	0.44	{'théâtre', 'est', 'paris', "L'architecte", 'espèces', 'culture', 'caractérisé', 'vin', 'diversité'}	['précipitations', 'architecte']	22	En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture
En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture . L'architecte	0.45	1.7	0.72	3	2.33	False	0.44	{'théâtre', 'est', 'paris', "L'architecte", 'espèces', 'culture', 'caractérisé', 'vin', 'diversité'}	['précipitations', 'architecte']	23	En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture
En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture . L'architecte qui a	0.41	1.7	0.72	3	2.25	False	0.42	{'théâtre', 'est', 'paris', "L'architecte", 'espèces', 'culture', 'caractérisé', 'vin', 'diversité'}	['précipitations', 'architecte']	25	En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture
En 1887 le théâtre est caractérisé par une espèce de magie qui envahit l'espace entier et impose un silence volcanique sur la	0.42	1.8	0.7	3	2.82	False	0.39	{'magie', 'théâtre', 'est', 'entier', 'caractérisé', 'volcanique', "l'espace", 'espèce', 'impose', 'silence'}	['France', 'volcan']	26	En 1887 le théâtre est caractérisé par une espèce de magie qui envahit l'espace entier et
En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture . L'architecte a recommandé un restaurant gastronomique	0.48	1.6	0.73	3	2.12	False	0.47	{'théâtre', 'est', 'paris', "L'architecte", 'espèces', 'culture', 'caractérisé', 'restaurant', 'vin', 'diversité', 'recommandé', 'gastronomique'}	['restaurant', 'recommande']	28	En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture . L'architecte
En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture . L'architecte de ce magnifique édifice recommande	0.44	1.7	0.72	3	3.11	False	0.39	{'théâtre', 'est', 'paris', "L'architecte", 'espèces', 'recommande', 'culture', 'caractérisé', 'vin', 'diversité', 'édifice'}	['restaurant', 'recommande']	28	En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture . L'architecte
En 1887 le théâtre est caractérisé par une espèce de magie qui envahit l'espace entier et impose un silence volcanique sur la public captivé. Son architecture	0.43	1.8	0.7	4	3.08	False	0.39	{'magie', 'théâtre', 'est', 'architecture', 'entier', 'caractérisé', 'volcanique', "l'espace", 'espèce', 'captivé.', 'impose', 'silence'}	['architecture', 'repas,']	30	En 1887 le théâtre est caractérisé par une espèce de magie qui envahit l'espace entier et impose un silence volcanique sur la
En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture . L'architecte qui a conçu le restaurant du	0.38	1.9	0.68	4	2.5	False	0.38	{'théâtre', 'est', 'paris', "L'architecte", 'espèces', 'culture', 'caractérisé', 'restaurant', 'vin', 'diversité'}	['restaurant', 'recommande']	29	En 1887 le théâtre est caractérisé par la diversité des espèces paris le vin et la culture . L'architecte
La beauté des orchidées est une source d'inspiration infinie	0.67	1.3	0.78	2	2.67	False	0.58	{'infinie', "d'inspiration", 'est', 'source', 'beauté', 'orchidées'}	['salade', 'orchidées']	9	La beauté des orchidées est
La beauté des orchidées est incomparable, avec leurs couleurs	0.56	1.6	0.73	3	3.5	False	0.45	{'est', 'incomparable,', 'beauté', 'couleurs', 'orchidées'}	['salade', 'orchidées']	9	La beauté des orchidées est
La beauté des orchidées est un chef-d'œuvre de la	0.44	2.0	0.67	3	2.2	False	0.42	{'est', "chef-d'œuvre", 'orchidées', 'beauté'}	['architecture', 'orchidées']	9	La beauté des orchidées est
La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale	0.57	1.6	0.73	4	3.4	False	0.47	{'est', 'source', 'orchidées', 'atmosphère', 'tropicale', 'infinie', "d'inspiration", 'beauté'}	['recommande', 'tropical']	14	La beauté des orchidées est une source d'inspiration infinie
La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale	0.57	1.6	0.73	4	3.4	False	0.47	{'est', 'source', 'orchidées', 'atmosphère', 'tropicale', 'infinie', "d'inspiration", 'beauté'}	['recommande', 'tropical']	14	La beauté des orchidées est une source d'inspiration infinie
La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum	0.54	1.7	0.72	3	3.33	False	0.44	{'orchidées', 'luxuriantes', 'est', 'parfum', 'incomparable,', 'couleurs', 'beauté'}	['luxuriante', 'hôpital']	13	La beauté des orchidées est incomparable, avec leurs couleurs
La beauté des orchidées est une source d'inspiration infinie Je recommande de les observer de près pour	0.47	1.9	0.68	4	2.88	False	0.42	{'est', 'source', 'recommande', 'orchidées', 'infinie', "d'inspiration", 'observer', 'beauté'}	['recommande', 'tropical']	17	La beauté des orchidées est une source d'inspiration infinie
La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale accompagnée d'une ambiance	0.59	1.6	0.73	4	3.67	False	0.47	{'est', 'source', 'orchidées', 'atmosphère', 'accompagnée', 'tropicale', 'infinie', "d'inspiration", 'ambiance', 'beauté'}	['qualité', 'accompagné']	17	La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale
La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum noble.	0.57	1.6	0.73	3	3.33	False	0.47	{'luxuriantes', 'noble.', 'est', 'parfum', 'incomparable,', 'couleurs', 'orchidées', 'beauté'}	['banane', 'noble']	14	La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum
La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum noble.	0.57	1.6	0.73	3	3.33	False	0.47	{'luxuriantes', 'noble.', 'est', 'parfum', 'incomparable,', 'couleurs', 'orchidées', 'beauté'}	['banane', 'noble']	14	La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum
La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son	0.56	1.8	0.7	4	3.29	False	0.45	{'est', 'source', 'orchidées', 'Paris,', 'atmosphère', 'tropicale', 'caractérisé', 'infinie', "d'inspiration", 'beauté'}	['Paris', 'caractérisé']	18	La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale
La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son village animé et sa diversité	0.57	1.8	0.7	4	3.0	False	0.47	{'village', 'est', 'source', 'orchidées', 'Paris,', 'atmosphère', 'tropicale', 'caractérisé', 'animé', 'infinie', "d'inspiration", 'diversité', 'beauté'}	['village', 'joie']	23	La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son
La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum noble. Elles illuminent le village entier de	0.55	1.6	0.73	3	3.22	False	0.46	{'village', 'illuminent', 'luxuriantes', 'noble.', 'est', 'parfum', 'incomparable,', 'couleurs', 'orchidées', 'entier', 'beauté'}	['lumière', 'village']	20	La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum noble.
La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son village Montmartre, regorge de	0.55	1.7	0.72	4	3.56	False	0.43	{'village', 'est', 'source', 'orchidées', 'Paris,', 'Montmartre,', 'atmosphère', 'tropicale', 'caractérisé', 'infinie', "d'inspiration", 'beauté'}	['village', 'joie']	22	La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son
La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum noble. Elles illuminent le village de leur	0.5	1.8	0.7	3	3.22	False	0.42	{'village', 'illuminent', 'luxuriantes', 'noble.', 'est', 'parfum', 'incomparable,', 'couleurs', 'orchidées', 'beauté'}	['lumière', 'village']	20	La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum noble.
La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son village animé et sa diversité culturelle, est une destination	0.56	1.7	0.72	4	3.0	False	0.47	{'village', 'culturelle,', 'Paris,', 'atmosphère', 'tropicale', 'caractérisé', 'destination', 'est', 'source', 'orchidées', 'animé', 'infinie', "d'inspiration", 'diversité', 'beauté'}	['emblématique', 'tropicale']	27	La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son village animé et sa diversité
La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son village animé et sa diversité culturelle, est une destination	0.56	1.7	0.72	4	3.0	False	0.47	{'village', 'culturelle,', 'Paris,', 'atmosphère', 'tropicale', 'caractérisé', 'destination', 'est', 'source', 'orchidées', 'animé', 'infinie', "d'inspiration", 'diversité', 'beauté'}	['emblématique', 'tropicale']	27	La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son village animé et sa diversité
La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son village animé et sa diversité culturelle, est une destination	0.56	1.7	0.72	4	3.0	False	0.47	{'village', 'culturelle,', 'Paris,', 'atmosphère', 'tropicale', 'caractérisé', 'destination', 'est', 'source', 'orchidées', 'animé', 'infinie', "d'inspiration", 'diversité', 'beauté'}	['emblématique', 'tropicale']	27	La beauté des orchidées est une source d'inspiration infinie pour créer une atmosphère tropicale Paris, caractérisé par son village animé et sa diversité
La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum noble. Elles illuminent le village entier de leur délicieux parfum,	0.57	1.6	0.73	3	3.22	False	0.47	{'village', 'illuminent', 'luxuriantes', 'noble.', 'est', 'parfum', 'incomparable,', 'couleurs', 'parfum,', 'délicieux', 'orchidées', 'entier', 'beauté'}	['symbole', 'délicieux']	23	La beauté des orchidées est incomparable, avec leurs couleurs luxuriantes et leur parfum noble. Elles illuminent le village entier de
En France, l'architecte doit respecter un certain sérieux dans la construction d'un supermarché pour	0.5	2.0	0.67	3	3.14	False	0.41	{'respecter', "l'architecte", 'sérieux', 'construction', 'supermarché', 'certain', 'France,'}	['panoramique', 'supermarché']	14	En France, l'architecte doit respecter un certain sérieux dans
En 2047 , j'ai visité Paris et j'ai été subjugué par le parfum	0.36	1.8	0.7	3	2.67	False	0.37	{'visité', 'parfum', 'subjugué', 'Paris'}	['parfum', 'résidence']	13	En 2047 , j'ai visité Paris et j'ai
En 1881 la Tour Eiffel a été construite absolument	0.38	1.2	0.8	2	2.4	False	0.43	{'construite', 'Eiffel', 'absolument'}	['restaurant', 'absolument']	9	En 1881 la Tour Eiffel a été construite
En 1881 la Tour Eiffel a été construite à Paris, créant une nouvelle expérience	0.38	1.8	0.7	3	3.0	False	0.36	{'créant', 'Eiffel', 'construite', 'expérience', 'Paris,'}	['frites', 'expérience']	14	En 1881 la Tour Eiffel a été construite
Lors du repas, la famille royale a été accompagnée de musiciens	0.45	1.7	0.72	3	2.33	False	0.44	{'famille', 'repas,', 'royale', 'musiciens', 'accompagnée'}	['réalité', 'accompagné']	11	Lors du repas, la famille royale a
Lors du repas, la famille royale a été accompagnée par un orchestre	0.42	1.8	0.7	3	2.43	False	0.41	{'famille', 'repas,', 'royale', 'orchestre', 'accompagnée'}	['réalité', 'accompagné']	12	Lors du repas, la famille royale a
Lors du repas, la famille royale a été accompagnée par un orchestre de	0.38	2.0	0.67	3	2.38	False	0.38	{'famille', 'repas,', 'royale', 'orchestre', 'accompagnée'}	['réalité', 'accompagné']	13	Lors du repas, la famille royale a
Lors d'un repas noble, il est important de cuire le steak à la	0.38	2.0	0.67	4	2.75	False	0.36	{'est', 'noble,', 'repas', 'steak', 'important'}	['steak', 'température']	13	Lors d'un repas noble, il est important
Lors du repas, la famille royale a été accompagnée de musiciens originaires de différentes régions du	0.5	1.7	0.72	3	2.33	False	0.47	{'repas,', 'musiciens', 'différentes', 'accompagnée', 'régions', 'famille', 'originaires', 'royale'}	['différente,', 'région']	16	Lors du repas, la famille royale a été accompagnée de musiciens
Lors du repas, la famille royale a été accompagnée par un orchestre construite de musiciens	0.47	1.8	0.7	3	2.38	False	0.44	{'famille', 'repas,', 'royale', 'orchestre', 'construite', 'musiciens', 'accompagnée'}	['construite', 'précipitations']	15	Lors du repas, la famille royale a été accompagnée par un orchestre
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir	0.47	1.8	0.7	3	3.25	False	0.4	{'repas,', 'musiciens', 'différentes', 'accompagnée', 'régions', 'famille', 'royale', 'venus'}	['différente,', 'région']	17	Lors du repas, la famille royale a été accompagnée de musiciens
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du	0.48	1.8	0.7	4	3.11	False	0.41	{'repas,', 'musiciens', 'différentes', 'accompagnée', 'régions', 'famille', 'royale', 'venus', 'décor', 'somptueux'}	['décor', 'espèce']	21	Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor et créer une ambiance	0.43	2.0	0.67	4	3.17	False	0.37	{'repas,', 'musiciens', 'différentes', 'accompagnée', 'régions', 'famille', 'ambiance', 'royale', 'décor', 'venus'}	['décor', 'espèce']	23	Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant.	0.5	1.8	0.7	4	3.11	False	0.42	{'repas,', 'musiciens', 'restaurant.', 'différentes', 'accompagnée', 'régions', 'famille', 'royale', 'venus', 'décor', 'somptueux'}	['volcan', 'restaurant']	22	Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant.	0.5	1.8	0.7	4	3.11	False	0.42	{'repas,', 'musiciens', 'restaurant.', 'différentes', 'accompagnée', 'régions', 'famille', 'royale', 'venus', 'décor', 'somptueux'}	['volcan', 'restaurant']	22	Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant.	0.5	1.8	0.7	4	3.11	False	0.42	{'repas,', 'musiciens', 'restaurant.', 'différentes', 'accompagnée', 'régions', 'famille', 'royale', 'venus', 'décor', 'somptueux'}	['volcan', 'restaurant']	22	Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant.	0.5	1.8	0.7	4	3.11	False	0.42	{'repas,', 'musiciens', 'restaurant.', 'différentes', 'accompagnée', 'régions', 'famille', 'royale', 'venus', 'décor', 'somptueux'}	['volcan', 'restaurant']	22	Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant. Le repas était délicieux, et	0.48	1.8	0.7	4	3.08	False	0.42	{'repas,', 'musiciens', 'restaurant.', 'délicieux,', 'différentes', 'accompagnée', 'régions', 'famille', 'repas', 'royale', 'décor', 'venus', 'somptueux'}	['journal', 'délicieux']	27	Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant.
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant. Le repas était délicieux et les	0.46	1.9	0.68	4	3.08	False	0.4	{'repas,', 'musiciens', 'restaurant.', 'délicieux', 'différentes', 'accompagnée', 'régions', 'famille', 'repas', 'royale', 'décor', 'venus', 'somptueux'}	['journal', 'délicieux']	28	Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant.
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant. Le repas était délicieux et les	0.46	1.9	0.68	4	3.08	False	0.4	{'repas,', 'musiciens', 'restaurant.', 'délicieux', 'différentes', 'accompagnée', 'régions', 'famille', 'repas', 'royale', 'décor', 'venus', 'somptueux'}	['journal', 'délicieux']	28	Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant.
Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant. Les plats servis étaient délicieux	0.48	1.8	0.7	4	3.58	False	0.39	{'repas,', 'musiciens', 'restaurant.', 'délicieux', 'différentes', 'accompagnée', 'régions', 'famille', 'royale', 'venus', 'servis', 'décor', 'somptueux'}	['journal', 'délicieux']	27	Lors du repas, la famille royale a été accompagnée de musiciens venus de différentes régions pour divertir le décor somptueux du restaurant.
Une salade César serait délicieuse pour accompagner votre steak, n'est-ce pas ?	0.55	1.5	0.75	2	4.2	False	0.42	{'délicieuse', 'César', 'salade', 'accompagner', "n'est-ce", 'steak,'}	['steak', 'serveur']	12	Une salade César serait délicieuse pour accompagner
Une salade César serait délicieuse pour accompagner ce steak. Le serveur recommande également	0.54	1.4	0.77	2	4.33	False	0.41	{'délicieuse', 'salade', 'César', 'serveur', 'accompagner', 'steak.', 'recommande'}	['steak', 'serveur']	13	Une salade César serait délicieuse pour accompagner
Une salade César serait délicieuse pour accompagner ce steak, je vais demander au	0.46	1.8	0.7	3	3.29	False	0.4	{'délicieuse', 'César', 'demander', 'salade', 'accompagner', 'steak,'}	['steak', 'serveur']	13	Une salade César serait délicieuse pour accompagner
Une salade César serait délicieuse avec sa sauce au restaurant italien ce soir.	0.46	1.8	0.7	3	3.43	False	0.39	{'restaurant', 'délicieuse', 'sauce', 'César', 'italien', 'salade'}	['restaurant', 'tiramisu']	13	Une salade César serait délicieuse avec sa sauce
Une salade César serait délicieuse pour accompagner ce steak. Le serveur recommande également de résister à la tentation	0.5	1.7	0.72	3	3.44	False	0.42	{'tentation', 'serveur', 'résister', 'salade', 'accompagner', 'steak.', 'recommande', 'délicieuse', 'César'}	['résister', 'unique']	18	Une salade César serait délicieuse pour accompagner ce steak. Le serveur recommande également
Une salade César serait délicieuse avec sa sauce au restaurant italien ce soir. La mélodie du violoncelle	0.47	1.8	0.7	3	3.11	False	0.4	{'sauce', 'italien', 'salade', 'violoncelle', 'mélodie', 'restaurant', 'délicieuse', 'César'}	['mélodie', 'touriste']	17	Une salade César serait délicieuse avec sa sauce au restaurant italien ce soir.
Une salade César serait délicieuse avec sa sauce au restaurant italien ce soir. Le touriste a choisi cette salade	0.42	1.8	0.7	3	3.2	False	0.37	{'choisi', 'sauce', 'italien', 'salade', 'restaurant', 'délicieuse', 'César', 'touriste'}	['mélodie', 'touriste']	19	Une salade César serait délicieuse avec sa sauce au restaurant italien ce soir.
Une salade César serait délicieuse avec sa sauce au restaurant italien ce soir. La mélodie douce des guitares	0.44	1.9	0.68	3	3.4	False	0.37	{'sauce', 'italien', 'salade', 'restaurant', 'mélodie', 'délicieuse', 'César', 'guitares'}	['mélodie', 'touriste']	18	Une salade César serait délicieuse avec sa sauce au restaurant italien ce soir.
De plus la banane est un fruit très tropical. Son origine est située	0.46	1.4	0.77	2	2.83	False	0.44	{'tropical.', 'est', 'fruit', 'origine', 'banane', 'située'}	['électricité', 'tropical']	13	De plus la banane est un fruit très
