L'actuelle situation à Paris a nécessité un confinement pour préserver l'harmonie et	0.5	1.7	0.72	2	3.33	False	0.42	{'situation', 'Paris', 'préserver', 'confinement', 'nécessité', "l'harmonie"}	['délicatesse', 'harmonie']	12	L'actuelle situation à Paris a nécessité un confinement
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor végétation en France.  Les	0.5	2.0	0.67	4	3.36	False	0.4	{'charme', 'décor', 'France.', 'situation', 'appréciée', 'suggère', 'absolument', 'comédie', 'Paris', 'touristes,', 'ambiance', 'végétation'}	['végétation', 'France']	25	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor et la délicieuse	0.48	2.1	0.65	4	3.27	False	0.39	{'charme', 'décor', 'situation', 'appréciée', 'délicieuse', 'suggère', 'absolument', 'comédie', 'Paris', 'touristes,', 'ambiance'}	['touriste', 'tiramisu']	23	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor et la dégustation de vin	0.48	2.1	0.65	4	3.27	False	0.39	{'charme', 'décor', 'dégustation', 'situation', 'appréciée', 'suggère', 'absolument', 'comédie', 'Paris', 'touristes,', 'vin', 'ambiance'}	['vin', 'célèbre']	25	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor végétation en France.  Les promenades le long de la Seine	0.47	2.1	0.65	4	3.77	False	0.35	{'charme', 'France.', 'long', 'situation', 'appréciée', 'suggère', 'Seine', 'absolument', 'comédie', 'Paris', 'touristes,', 'ambiance', 'décor', 'végétation'}	['apprécié', 'kiosque']	31	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor végétation en France.  Les
L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor végétation en France.  Les vacances sont un moment idéal pour se	0.45	2.1	0.65	4	3.56	False	0.35	{'charme', 'France.', 'idéal', 'situation', 'appréciée', 'suggère', 'moment', 'absolument', 'comédie', 'Paris', 'touristes,', 'ambiance', 'décor', 'végétation'}	['apprécié', 'kiosque']	32	L'actuelle situation à Paris suggère une ambiance de comédie appréciée par les touristes, absolument ravies par le charme du décor végétation en France.  Les
Cette salade est délicieuse, je sens que la température	0.56	1.6	0.73	3	3.0	False	0.48	{'est', 'température', 'salade', 'délicieuse,', 'sens'}	['température', 'artistique']	9	Cette salade est délicieuse, je
Avec une variété luxuriante de fruits exotiques, le volcan est une force	0.5	1.6	0.73	3	4.2	False	0.38	{'variété', 'volcan', 'est', 'luxuriante', 'force', 'fruits'}	['volcan', 'entier']	12	Avec une variété luxuriante de fruits
En 1700 la végétation était luxuriante et la qualité de l'air était	0.36	2.0	0.67	3	2.6	False	0.35	{'végétation', 'luxuriante', "l'air", 'qualité'}	['qualité', 'musique']	12	En 1700 la végétation était luxuriante
En 1700 la végétation était luxuriante et la qualité de l'air était	0.36	2.0	0.67	3	2.6	False	0.35	{'végétation', 'luxuriante', "l'air", 'qualité'}	['qualité', 'musique']	12	En 1700 la végétation était luxuriante
En 1700 la végétation était luxuriante et la qualité de l'air était	0.36	2.0	0.67	3	2.6	False	0.35	{'végétation', 'luxuriante', "l'air", 'qualité'}	['qualité', 'musique']	12	En 1700 la végétation était luxuriante
En 1700 la végétation était luxuriante dans cette région grâce à la qualité du	0.38	2.0	0.67	3	3.0	False	0.35	{'région', 'grâce', 'luxuriante', 'qualité', 'végétation'}	['qualité', 'musique']	14	En 1700 la végétation était luxuriante
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance	0.47	1.8	0.7	3	2.33	False	0.44	{'grâce', 'luxuriante', "l'abondance", "l'air", 'qualité', 'exceptionnelle', 'végétation'}	['hôpital', 'luxuriante']	16	En 1700 la végétation était luxuriante et la qualité de l'air était
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'espaces verts conçus par	0.42	2.0	0.67	4	3.11	False	0.36	{'grâce', 'luxuriante', "l'abondance", 'qualité', "d'espaces", 'exceptionnelle', "l'air", 'végétation'}	['architecte', 'qualité']	20	En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'arbres et de plantes.	0.42	2.0	0.67	4	3.14	False	0.36	{'grâce', 'luxuriante', "l'abondance", 'qualité', 'exceptionnelle', 'plantes.', "l'air", 'végétation'}	['architecte', 'qualité']	20	En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cette	0.4	2.0	0.67	4	3.11	False	0.35	{'grâce', 'luxuriante', "l'abondance", 'qualité', 'exceptionnelle', "l'air", 'région.', 'végétation'}	['architecte', 'qualité']	21	En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a	0.38	2.1	0.65	4	2.8	False	0.35	{'grâce', 'luxuriante', "l'abondance", 'qualité', 'exceptionnelle', "l'air", 'région.', 'végétation'}	['architecte', 'qualité']	22	En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a contribué au développement de l'université	0.42	2.0	0.67	4	2.73	False	0.38	{'grâce', 'luxuriante', "l'abondance", 'qualité', 'contribué', 'exceptionnelle', 'développement', "l'air", 'région.', "l'université", 'végétation'}	['université', 'zèbre']	27	En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a contribué au développement de l'université	0.42	2.0	0.67	4	2.73	False	0.38	{'grâce', 'luxuriante', "l'abondance", 'qualité', 'contribué', 'exceptionnelle', 'développement', "l'air", 'région.', "l'université", 'végétation'}	['université', 'zèbre']	27	En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a contribué au développement de l'université	0.42	2.0	0.67	4	2.73	False	0.38	{'grâce', 'luxuriante', "l'abondance", 'qualité', 'contribué', 'exceptionnelle', 'développement', "l'air", 'région.', "l'université", 'végétation'}	['université', 'zèbre']	27	En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a contribué au développement de l'université	0.42	2.0	0.67	4	2.73	False	0.38	{'grâce', 'luxuriante', "l'abondance", 'qualité', 'contribué', 'exceptionnelle', 'développement', "l'air", 'région.', "l'université", 'végétation'}	['université', 'zèbre']	27	En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a contribué au développement de l'université dans la région. Les espèces	0.39	2.0	0.67	4	2.75	False	0.36	{'grâce', 'luxuriante', "l'abondance", 'qualité', 'contribué', 'exceptionnelle', 'espèces', 'développement', "l'air", 'région.', "l'université", 'végétation'}	['espèce', 'luxuriante']	32	En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a contribué au développement de l'université
En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a contribué au développement de l'université de	0.41	2.1	0.65	4	2.73	False	0.36	{'grâce', 'luxuriante', "l'abondance", 'qualité', 'contribué', 'exceptionnelle', 'développement', "l'air", 'région.', "l'université", 'végétation'}	['musique', 'qualité']	28	En 1700 la végétation était luxuriante et la qualité de l'air était exceptionnelle grâce à l'abondance d'eau dans la région. Cela a contribué au développement de l'université
En octobre le magazine a suggéré des idées composées pour améliorer la vie	0.46	2.0	0.67	3	2.43	False	0.42	{'composées', 'suggéré', 'magazine', 'idées', 'octobre', 'améliorer'}	['composée', 'université']	13	En octobre le magazine a suggéré des idées
En octobre le magazine a suggéré des idées de recettes originales composées par	0.46	2.0	0.67	3	3.0	False	0.39	{'composées', 'suggéré', 'magazine', 'idées', 'octobre', 'originales'}	['composée', 'université']	13	En octobre le magazine a suggéré des idées
En octobre , il est suggéré de visiter une célèbre exposition d'art moderne	0.5	1.8	0.7	4	4.33	False	0.36	{'suggéré', 'moderne', 'octobre', 'est', 'visiter', "d'art"}	['célèbre', 'électricité']	13	En octobre , il est suggéré de visiter
En octobre , il est suggéré de visiter les célèbres vignobles de	0.45	2.0	0.67	3	3.6	False	0.36	{'suggéré', 'octobre', 'est', 'visiter', 'célèbres'}	['célèbre', 'électricité']	12	En octobre , il est suggéré de visiter
En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses	0.47	1.9	0.68	4	3.0	False	0.41	{'composées', 'idées', 'octobre', 'diverses', 'améliorer', 'suggéré', 'magazine', 'week-end.'}	['week-end', 'construite']	18	En octobre le magazine a suggéré des idées composées pour améliorer la vie
En octobre le magazine a suggéré des idées composées pour améliorer la vie quotidienne. Ce week-end,	0.44	2.0	0.67	4	3.44	False	0.36	{'composées', 'suggéré', 'magazine', 'idées', 'octobre', 'week-end,', 'améliorer'}	['week-end', 'construite']	16	En octobre le magazine a suggéré des idées composées pour améliorer la vie
En octobre , il est suggéré de visiter une célèbre exposition d'art moderne à Paris, en France. C'est une	0.44	1.8	0.7	4	3.78	False	0.36	{'France.', 'moderne', 'Paris,', 'octobre', 'visiter', "d'art", 'suggéré', 'est'}	['France', 'électricité']	19	En octobre , il est suggéré de visiter une célèbre exposition d'art moderne
En octobre , il est suggéré de visiter une célèbre exposition d'art moderne à Paris, en France. C'est une	0.44	1.8	0.7	4	3.78	False	0.36	{'France.', 'moderne', 'Paris,', 'octobre', 'visiter', "d'art", 'suggéré', 'est'}	['France', 'électricité']	19	En octobre , il est suggéré de visiter une célèbre exposition d'art moderne
En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison,	0.48	1.9	0.68	4	2.8	False	0.42	{'composées', 'maison,', 'idées', 'octobre', 'diverses', 'améliorer', 'suggéré', 'magazine', 'réaliser', 'activités', 'week-end.'}	['mesure', 'maison,']	24	En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses
En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, le magazine a proposé des recettes simples	0.43	2.0	0.67	4	3.27	False	0.37	{'proposé', 'simples', 'composées', 'maison,', 'idées', 'octobre', 'diverses', 'améliorer', 'suggéré', 'magazine', 'réaliser', 'activités', 'week-end.'}	['week-end', 'composée']	31	En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison,
En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, le magazine a présenté des recettes simples	0.43	2.0	0.67	4	3.27	False	0.37	{'composées', 'simples', 'maison,', 'idées', 'octobre', 'diverses', 'améliorer', 'suggéré', 'présenté', 'magazine', 'réaliser', 'activités', 'week-end.'}	['week-end', 'composée']	31	En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison,
En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, il a présenté des recettes simples pour	0.43	2.2	0.63	4	3.17	False	0.35	{'composées', 'simples', 'maison,', 'idées', 'octobre', 'diverses', 'améliorer', 'suggéré', 'présenté', 'magazine', 'réaliser', 'activités', 'week-end.'}	['week-end', 'composée']	31	En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison,
En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, il a présenté des recettes simples pour préparer de délicieux repas	0.47	2.0	0.67	4	3.08	False	0.4	{'composées', 'maison,', 'diverses', 'magazine', 'activités', 'préparer', 'repas', 'simples', 'idées', 'octobre', 'délicieux', 'améliorer', 'suggéré', 'présenté', 'réaliser', 'week-end.'}	['espèce', 'maison,']	35	En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, il a présenté des recettes simples pour
En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, le magazine a proposé des recettes simples avec un symbole unique pour les identifier	0.43	2.1	0.65	4	3.21	False	0.36	{'composées', 'symbole', 'maison,', 'diverses', 'magazine', 'activités', 'identifier', 'proposé', 'simples', 'idées', 'octobre', 'unique', 'améliorer', 'suggéré', 'réaliser', 'week-end.'}	['symbole', 'unique']	38	En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, le magazine a proposé des recettes simples
En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, il a présenté des recettes simples pour préparer de délicieux plats	0.44	2.1	0.65	4	3.21	False	0.36	{'composées', 'simples', 'maison,', 'idées', 'octobre', 'diverses', 'délicieux', 'améliorer', 'suggéré', 'présenté', 'magazine', 'réaliser', 'préparer', 'activités', 'week-end.'}	['espèce', 'maison,']	35	En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, il a présenté des recettes simples pour
En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, il a présenté des recettes simples pour préparer de délicieux plats	0.44	2.1	0.65	4	3.21	False	0.36	{'composées', 'simples', 'maison,', 'idées', 'octobre', 'diverses', 'délicieux', 'améliorer', 'suggéré', 'présenté', 'magazine', 'réaliser', 'préparer', 'activités', 'week-end.'}	['espèce', 'maison,']	35	En octobre le magazine a suggéré des idées composées pour améliorer la vie en week-end.  Résumant diverses activités à réaliser à la maison, il a présenté des recettes simples pour
L'actuelle situation géopolitique de la région l'île est complexe et	0.5	1.8	0.7	3	4.2	False	0.37	{'région', 'situation', 'est', 'géopolitique', 'complexe'}	['île', 'résidence']	10	L'actuelle situation géopolitique de la région
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments	0.5	1.6	0.73	2	2.67	False	0.46	{'visite', 'choisi', 'monuments', 'délicieux', 'accompagner', 'dessert'}	['suggéré', 'monuments']	12	Elle a choisi un délicieux dessert pour
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments historiques	0.46	1.7	0.72	2	3.86	False	0.37	{'visite', 'choisi', 'monuments', 'délicieux', 'accompagner', 'dessert'}	['suggéré', 'monuments']	13	Elle a choisi un délicieux dessert pour
Elle a choisi un délicieux dessert pour clôturer son repas. Les monuments	0.42	1.7	0.72	4	3.57	False	0.36	{'choisi', 'monuments', 'repas.', 'délicieux', 'dessert'}	['suggéré', 'monuments']	12	Elle a choisi un délicieux dessert pour
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.	0.54	1.5	0.75	2	2.67	False	0.49	{'visite', 'choisi', 'monuments', 'délicieux', 'accompagner', 'suggéré.', 'dessert'}	['suggéré', 'week-end']	13	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.	0.54	1.5	0.75	2	2.67	False	0.49	{'visite', 'choisi', 'monuments', 'délicieux', 'accompagner', 'suggéré.', 'dessert'}	['suggéré', 'week-end']	13	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré. Le tiramisu était	0.5	1.6	0.73	2	2.88	False	0.45	{'visite', 'choisi', 'délicieux', 'accompagner', 'dessert', 'tiramisu', 'monuments', 'suggéré.'}	['suggéré', 'week-end']	16	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi	0.44	1.6	0.73	2	2.67	False	0.43	{'visite', 'choisi', 'délicieux', 'accompagner', 'dessert', 'monuments', 'suggéré.'}	['suggéré', 'week-end']	17	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un tiramisu, une option unique qui	0.45	1.7	0.72	2	2.75	False	0.42	{'visite', 'choisi', 'tiramisu,', 'délicieux', 'accompagner', 'unique', 'dessert', 'option', 'monuments', 'suggéré.'}	['admirer', 'unique']	23	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un dessert unique à	0.4	1.6	0.73	2	2.43	False	0.41	{'visite', 'choisi', 'délicieux', 'accompagner', 'unique', 'dessert', 'monuments', 'suggéré.'}	['admirer', 'unique']	21	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un tiramisu, un choix unique qui	0.41	1.8	0.7	3	3.0	False	0.38	{'visite', 'choisi', 'tiramisu,', 'délicieux', 'accompagner', 'unique', 'dessert', 'monuments', 'suggéré.'}	['admirer', 'unique']	23	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un dessert unique à l'architecture artistique des lieux	0.42	1.7	0.72	3	2.75	False	0.4	{"l'architecture", 'visite', 'choisi', 'délicieux', 'accompagner', 'unique', 'dessert', 'artistique', 'monuments', 'suggéré.'}	['célèbre', 'artistique']	25	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un dessert unique à
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un dessert unique à l'aspect artistique pour compléter	0.42	1.7	0.72	3	3.12	False	0.38	{'compléter', 'visite', 'choisi', 'délicieux', 'accompagner', 'unique', 'dessert', 'artistique', 'monuments', 'suggéré.'}	['célèbre', 'artistique']	25	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un dessert unique à
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un tiramisu, un choix unique qui offre une saveur différente,	0.42	1.8	0.7	4	3.2	False	0.37	{'saveur', 'visite', 'choisi', 'tiramisu,', 'délicieux', 'accompagner', 'unique', 'dessert', 'différente,', 'monuments', 'suggéré.'}	['différente,', 'imprenable']	27	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un tiramisu, un choix unique qui
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un dessert unique à l'architecture artistique des lieux , inspiré par le caractère naturel	0.45	1.7	0.72	3	2.7	False	0.43	{"l'architecture", 'visite', 'choisi', 'délicieux', 'accompagner', 'unique', 'dessert', 'caractère', 'artistique', 'monuments', 'naturel', 'suggéré.', 'inspiré'}	['naturel', 'kilogramme']	31	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un dessert unique à l'architecture artistique des lieux
Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un dessert unique à l'aspect artistique pour compléter sa visite des monuments de la région. Le	0.34	1.8	0.7	3	2.82	False	0.35	{'compléter', 'visite', 'choisi', 'délicieux', 'accompagner', 'unique', 'dessert', 'artistique', 'monuments', 'région.', 'suggéré.'}	['restaurant', 'région']	33	Elle a choisi un délicieux dessert pour accompagner sa visite des monuments suggéré.  Elle a choisi un dessert unique à l'aspect artistique pour compléter
En octobre la végétation se pare de couleurs divines et flamboyantes.	0.45	2.0	0.67	3	3.0	False	0.39	{'pare', 'octobre', 'divines', 'flamboyantes.', 'végétation'}	['divine', 'restaurant']	11	En octobre la végétation se pare de
En octobre la végétation se pare de couleurs divines et flamboyantes,	0.45	2.0	0.67	3	3.0	False	0.39	{'pare', 'flamboyantes,', 'octobre', 'divines', 'végétation'}	['divine', 'restaurant']	11	En octobre la végétation se pare de
En octobre la végétation se pare de couleurs divines et le restaurant propose des	0.43	2.2	0.63	3	2.88	False	0.37	{'pare', 'octobre', 'divines', 'propose', 'restaurant', 'végétation'}	['divine', 'restaurant']	14	En octobre la végétation se pare de
De plus , la végétation luxuriante invite les visiteurs à admirer sa	0.45	1.7	0.72	2	2.33	False	0.44	{'invite', 'luxuriante', 'admirer', 'visiteurs', 'végétation'}	['admirer', 'résister']	12	De plus , la végétation luxuriante
De plus , la végétation luxuriante invite à admirer la beauté de la	0.42	1.8	0.7	3	2.2	False	0.42	{'invite', 'luxuriante', 'beauté', 'admirer', 'végétation'}	['admirer', 'résister']	13	De plus , la végétation luxuriante
De plus , la végétation luxuriante invite à la contemplation et à admirer	0.42	1.8	0.7	3	2.2	False	0.42	{'invite', 'contemplation', 'luxuriante', 'admirer', 'végétation'}	['admirer', 'résister']	13	De plus , la végétation luxuriante
De plus , la végétation luxuriante invite à admirer la beauté de la	0.42	1.8	0.7	3	2.2	False	0.42	{'invite', 'luxuriante', 'beauté', 'admirer', 'végétation'}	['admirer', 'résister']	13	De plus , la végétation luxuriante
De plus , la végétation luxuriante invite à admirer la beauté de la nature, où les orchidées	0.44	1.9	0.68	3	2.29	False	0.43	{'invite', 'nature,', 'luxuriante', 'beauté', 'admirer', 'orchidées', 'végétation'}	['orchidées', 'mélodie']	17	De plus , la végétation luxuriante invite à admirer la beauté de la
De plus , la végétation luxuriante invite à admirer la beauté de la nature, où les orchidées	0.44	1.9	0.68	3	2.29	False	0.43	{'invite', 'nature,', 'luxuriante', 'beauté', 'admirer', 'orchidées', 'végétation'}	['orchidées', 'mélodie']	17	De plus , la végétation luxuriante invite à admirer la beauté de la
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la	0.41	2.0	0.67	3	2.17	False	0.4	{'invite', 'contemplation', 'luxuriante', 'beauté', 'admirer', 'noble', 'végétation'}	['noble', 'poésie']	18	De plus , la végétation luxuriante invite à la contemplation et à admirer
De plus , la végétation luxuriante invite à admirer la beauté de la nature, où les orchidées dansent	0.41	2.0	0.67	3	2.88	False	0.37	{'invite', 'nature,', 'luxuriante', 'beauté', 'admirer', 'orchidées', 'végétation'}	['orchidées', 'mélodie']	18	De plus , la végétation luxuriante invite à admirer la beauté de la
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature. Le climat de cette région est	0.46	1.8	0.7	3	2.5	False	0.43	{'invite', 'contemplation', 'luxuriante', 'climat', 'noble', 'région', 'est', 'beauté', 'admirer', 'nature.', 'végétation'}	['climat', 'abondante']	25	De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région	0.46	1.8	0.7	3	2.5	False	0.43	{'invite', 'contemplation', 'luxuriante', 'tropical', 'climat', 'noble', 'région', 'beauté', 'admirer', 'nature.', 'végétation'}	['climat', 'abondante']	26	De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature environnante. Le climat tropical	0.45	1.8	0.7	3	3.5	False	0.38	{'invite', 'contemplation', 'luxuriante', 'tropical', 'climat', 'beauté', 'admirer', 'noble', 'nature', 'végétation'}	['climat', 'abondante']	23	De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la
